study_id,pubmed_id
1445,33471146.0
9007,22622291.0
5684,12044624.0
547,37398594.0
259,35429529.0
7990,19604642.0
4006,29167877.0
337,10711913.0
5364,37656045.0
6171,
6837,37557019.0
5099,32115848.0
4792,29947916.0
7777,26834167.0
4244,
6450,24103187.0
8636,
1730,
5690,37709999.0
3837,
6325,26423481.0
221,
3825,
8752,33841195.0
1262,
6062,
4914,34587546.0
3927,
6258,
6608,
8218,34744825.0
6245,
8077,37392016.0
1450,33239245.0
1657,21033454.0
5543,35760879.0
7621,26650973.0
6274,
1696,32608093.0
2431,29580569.0
4592,12088953.0
3237,35431578.0
2818,33427944.0
148,
6345,35286849.0
7021,23259912.0
3876,
7803,37875938.0
6843,36386199.0
1364,
3728,19733106.0
3796,25616995.0
7574,32061453.0
4129,35181391.0
5139,32529966.0
6173,
8307,22020992.0
7295,20173436.0
8976,35048815.0
6870,
3492,37795513.0
6468,35924888.0
2424,
3977,
3071,32073177.0
578,37385001.0
7399,33836470.0
7405,23783065.0
531,35231204.0
6133,
220,36192794.0
154,
7597,30597688.0
8731,35072760.0
3631,36507738.0
6855,17458544.0
8349,
6422,25311285.0
7861,33601929.0
6470,33770540.0
7557,32367114.0
3820,25295436.0
6402,
7863,31308191.0
167,
6800,37488291.0
6643,
2359,29923178.0
8936,
2396,
9562,31957693.0
7875,29718262.0
8889,37221177.0
3306,24103211.0
1436,30153598.0
7817,
4544,35166663.0
6502,
6132,
6699,27718369.0
4543,
9630,
2391,
5381,37689275.0
6222,
6162,
2720,30641350.0
482,35101523.0
5316,16771893.0
691,33115424.0
564,30099268.0
8959,32316080.0
4249,37255674.0
8634,34288609.0
6446,
9071,37748853.0
6491,34750057.0
980,
4349,35873251.0
763,
121,31791675.0
8120,31783823.0
5991,37795509.0
2765,32038315.0
7860,34894842.0
7078,36128684.0
1763,37479669.0
1647,22521148.0
1486,37148637.0
4782,32078034.0
7055,32111343.0
6367,
664,
6894,18996507.0
1942,36545037.0
1452,34592639.0
526,37968944.0
4056,25213996.0
342,33125716.0
8947,35578581.0
7603,
2033,34507101.0
347,33150319.0
2863,31084460.0
8470,30685564.0
7110,37230065.0
9239,34046159.0
6074,
6448,
9197,36525338.0
6423,34333555.0
579,35267254.0
8335,29085980.0
1442,31437695.0
4922,37178823.0
